AÑO ,TRIMESTRE,DEPARTAMENTO,CIUDAD,UNIONES MARITALES DE HECHO
Año 2018,I Trim,Putumayo,Demás Municipios,5
Año 2018,I Trim,Quindio,Armenia,27
Año 2018,I Trim,Quindio,Demás Municipios,8
Año 2018,I Trim,Risaralda,Pereira,34
Año 2018,I Trim,Risaralda,Demás Municipios,5
Año 2018,I Trim,San Andres Y Providencia,San Andres Isla,26
Año 2018,I Trim,San Andres Y Providencia,Demás Municipios,1
Año 2018,I Trim,Santander,Bucaramanga,53
Año 2018,I Trim,Santander,Demás Municipios,42
Año 2018,I Trim,Sucre,Sincelejo,6
Año 2018,I Trim,Sucre,Demás Municipios,12
Año 2018,I Trim,Tolima,Ibague,44
Año 2018,I Trim,Tolima,Demás Municipios,66
Año 2018,I Trim,Valle,Cali,233
